Rule ID,P(a1c1),P(a1c0),P(a0c1),P(a0c0)
0,0.9492854563277099,0.9505017068376953,0.05071454367229015,0.049498293162304745
1,0.9498736527254912,0.949887808526552,0.05012634727450879,0.05011219147344802
2,0.9488680315610335,0.9510326621460738,0.05113196843896653,0.048967337853926186
3,0.9501814411612234,0.9499961157003393,0.04981855883877657,0.050003884299660774
4,0.9501112663665062,0.9477259226736228,0.04988873363349376,0.05227407732637723
5,0.9488324978571985,0.9492572019118977,0.05116750214280148,0.050742798088102316
6,0.9508782758532006,0.9499508052405364,0.04912172414679937,0.05004919475946352
7,0.9488544859473219,0.9497739310166645,0.05114551405267806,0.05022606898333549
8,0.9487417252659506,0.9515562055782208,0.051258274734049404,0.04844379442177918
9,0.9505903157018776,0.948473036115342,0.04940968429812243,0.05152696388465808
10,0.9499208593891901,0.9511177887728933,0.05007914061080983,0.0488822112271067
11,0.9504415584415584,0.9504563233376793,0.04955844155844156,0.04954367666232073
12,0.9504015237310821,0.9511151928627657,0.049598476268917946,0.048884807137234323
13,0.9500376926876186,0.9509340944473275,0.049962307312381396,0.04906590555267255
14,0.9476262925810361,0.9498898821090815,0.05237370741896387,0.050110117890918515
15,0.949997417221964,0.9499167880174745,0.050002582778036056,0.05008321198252549
16,0.949860147104527,0.9487646293888167,0.05013985289547291,0.051235370611183356
17,0.9484768517332377,0.9493828118934865,0.05152314826676232,0.05061718810651347
18,0.9514355607055491,0.9495643259866735,0.04856443929445088,0.0504356740133265
19,0.9489408499384672,0.9495415220432057,0.051059150061532825,0.05045847795679428
20,0.949922158796056,0.9507884159538287,0.05007784120394396,0.049211584046171285
21,0.8994357716769344,0.7976336999245642,0.10056422832306558,0.20236630007543574
22,0.8546935276468067,0.6527610528126613,0.1453064723531933,0.3472389471873387
23,0.850440642820114,0.6519191576086957,0.14955935717988594,0.3480808423913043
24,0.8466940733127784,0.642305355437896,0.15330592668722165,0.357694644562104
25,0.8484874826147427,0.644490287089565,0.1515125173852573,0.3555097129104349
26,0.8498607477424255,0.6527586206896552,0.1501392522575745,0.3472413793103448
27,0.84610768175583,0.6503982375868497,0.1538923182441701,0.34960176241315033
28,0.8460541101218775,0.6570230249079859,0.15394588987812258,0.342976975092014
29,0.8506678155967256,0.6542358450404427,0.14933218440327445,0.34576415495955726
30,0.8486129458388375,0.6562420328036033,0.1513870541611625,0.34375796719639673
31,0.8501362397820164,0.6489859594383776,0.14986376021798364,0.35101404056162244
32,0.7972430090586845,0.5510163252240717,0.20275699094131547,0.4489836747759283
33,0.7457446808510638,0.4494736842105263,0.2542553191489362,0.5505263157894736
34,0.7454128440366973,0.45054945054945056,0.2545871559633027,0.5494505494505495
35,0.7624076029567054,0.45161290322580644,0.2375923970432946,0.5483870967741935
36,0.7475083056478405,0.46108490566037735,0.25249169435215946,0.5389150943396226
37,0.7491749174917491,0.42184154175588867,0.2508250825082508,0.5781584582441114
38,0.7553072625698324,0.43567567567567567,0.2446927374301676,0.5643243243243243
39,0.761744966442953,0.465675057208238,0.23825503355704697,0.534324942791762
40,0.7481323372465315,0.46813186813186813,0.2518676627534685,0.5318681318681319
41,0.7543323139653415,0.44089456869009586,0.24566768603465852,0.5591054313099042
42,0.7296380090497737,0.4817351598173516,0.2703619909502262,0.5182648401826484
